"Year","Month","Global_Avg_1","Global_Avg_Unc_1","Global_Avg_5","Global_Avg_Unc_5","Global_Avg_10","Global_Avg_Unc_10"
1850,1,7.823,0.316,7.893,0.304,7.976,0.281
1850,2,7.864,0.319,7.89,0.306,7.989,0.279
1850,3,7.896,0.305,7.889,0.306,7.991,0.277
1850,4,7.824,0.343,7.894,0.303,7.996,0.272
1850,5,7.723,0.376,7.877,0.312,8.003,0.271
1850,6,7.77,0.361,7.911,0.305,8.006,0.269
1850,7,7.919,0.363,7.931,0.302,8.003,0.266
1850,8,7.87,0.381,7.902,0.323,8.004,0.263
1850,9,7.812,0.443,7.889,0.324,8.004,0.26
1850,10,7.816,0.482,7.882,0.334,8.011,0.261
1850,11,7.899,0.482,7.888,0.33,8.011,0.257
1850,12,7.914,0.479,7.892,0.322,8.014,0.25
1851,1,7.911,0.474,7.897,0.318,8.009,0.255
1851,2,7.881,0.474,7.908,0.314,7.999,0.258
1851,3,7.895,0.489,7.918,0.309,7.983,0.257
1851,4,7.983,0.455,7.915,0.307,7.986,0.247
1851,5,8.001,0.453,7.905,0.302,7.984,0.242
1851,6,8.053,0.457,7.919,0.303,7.985,0.24
1851,7,8.038,0.483,7.907,0.315,7.98,0.24
1851,8,8.027,0.511,7.894,0.32,7.972,0.241
1851,9,7.988,0.509,7.885,0.324,7.965,0.243
1851,10,8.002,0.463,7.896,0.3,7.964,0.239
1851,11,8.014,0.44,7.912,0.291,7.966,0.237
1851,12,7.997,0.458,7.909,0.286,7.963,0.239
1852,1,7.986,0.452,7.913,0.28,7.955,0.244
1852,2,7.943,0.43,7.918,0.276,7.944,0.24
1852,3,7.928,0.429,7.926,0.271,7.948,0.238
1852,4,7.916,0.396,7.943,0.267,7.938,0.236
1852,5,7.891,0.395,7.941,0.271,7.932,0.234
1852,6,7.946,0.367,7.968,0.274,7.93,0.23
1852,7,7.898,0.374,8.001,0.29,7.928,0.23
1852,8,7.876,0.39,8,0.301,7.928,0.229
1852,9,7.903,0.359,7.997,0.311,7.926,0.226
1852,10,7.916,0.428,8.021,0.299,7.923,0.225
1852,11,7.897,0.435,8.042,0.291,7.92,0.226
1852,12,7.921,0.439,8.041,0.284,7.935,0.225
1853,1,7.95,0.452,8.03,0.281,7.952,0.222
1853,2,8.02,0.457,8.021,0.278,7.938,0.225
1853,3,8.03,0.441,8.017,0.275,7.939,0.222
1853,4,8.001,0.45,8.026,0.27,7.942,0.22
1853,5,8.01,0.442,8.035,0.261,7.945,0.214
1853,6,7.94,0.441,8.027,0.261,7.947,0.21
1853,7,7.894,0.461,8.031,0.264,7.943,0.208
1853,8,7.872,0.359,8.026,0.276,7.944,0.205
1853,9,7.939,0.358,8.03,0.271,7.947,0.202
1853,10,7.943,0.294,8.04,0.256,7.948,0.201
1853,11,7.952,0.294,8.034,0.246,7.953,0.196
1853,12,7.901,0.305,8.039,0.237,7.956,0.198
1854,1,7.896,0.296,8.036,0.235,7.957,0.2
1854,2,7.882,0.293,8.026,0.236,7.957,0.2
1854,3,7.881,0.304,8.014,0.233,7.954,0.2
1854,4,7.989,0.288,7.998,0.234,7.968,0.193
1854,5,8.081,0.296,8.004,0.228,7.98,0.189
1854,6,8.131,0.335,8.007,0.23,7.985,0.187
1854,7,8.258,0.408,7.999,0.233,7.984,0.184
1854,8,8.355,0.484,7.997,0.224,7.983,0.182
1854,9,8.345,0.495,8.009,0.221,7.984,0.181
1854,10,8.427,0.475,7.999,0.223,7.985,0.179
1854,11,8.447,0.454,7.977,0.229,7.986,0.175
1854,12,8.472,0.44,7.97,0.231,7.997,0.176
1855,1,8.406,0.459,7.964,0.239,8.006,0.179
1855,2,8.382,0.478,7.966,0.241,8.001,0.182
1855,3,8.353,0.455,7.963,0.244,7.989,0.187
1855,4,8.241,0.499,7.952,0.248,7.995,0.186
1855,5,8.19,0.449,7.964,0.25,8.004,0.181
1855,6,8.062,0.398,7.96,0.258,8.007,0.178
1855,7,8.066,0.335,7.973,0.258,8.005,0.175
1855,8,7.999,0.314,7.975,0.251,8.005,0.173
1855,9,7.975,0.324,7.989,0.253,8.009,0.171
1855,10,7.91,0.342,8.001,0.254,8.015,0.166
1855,11,7.861,0.353,8.001,0.257,8.017,0.162
1855,12,7.906,0.351,8.001,0.261,8.009,0.165
1856,1,7.939,0.365,7.99,0.264,7.992,0.169
1856,2,7.903,0.381,7.98,0.265,7.989,0.169
1856,3,7.879,0.397,7.976,0.264,7.992,0.169
1856,4,7.843,0.395,7.98,0.265,7.994,0.165
1856,5,7.85,0.398,8.002,0.257,7.99,0.164
1856,6,7.958,0.383,7.994,0.252,7.989,0.162
1856,7,7.878,0.36,8.007,0.251,7.987,0.161
1856,8,7.883,0.379,8.02,0.253,7.989,0.161
1856,9,7.885,0.387,8.023,0.252,7.987,0.16
1856,10,7.799,0.379,8.04,0.248,7.981,0.162
1856,11,7.729,0.375,8.049,0.248,7.989,0.159
1856,12,7.651,0.367,8.062,0.245,7.987,0.159
1857,1,7.628,0.363,8.054,0.245,7.972,0.161
1857,2,7.646,0.368,8.048,0.248,7.965,0.16
1857,3,7.671,0.389,8.042,0.248,7.97,0.161
1857,4,7.686,0.406,8.028,0.247,7.968,0.16
1857,5,7.688,0.4,8.03,0.24,7.966,0.161
1857,6,7.708,0.405,8.026,0.232,7.966,0.16
1857,7,7.771,0.435,8.011,0.232,7.964,0.161
1857,8,7.764,0.45,8.002,0.231,7.965,0.16
1857,9,7.802,0.441,7.981,0.229,7.962,0.16
1857,10,7.926,0.433,7.968,0.226,7.957,0.157
1857,11,8.017,0.426,7.966,0.224,7.958,0.16
1857,12,8.076,0.417,7.972,0.22,7.939,0.161
1858,1,8.081,0.407,7.981,0.217,7.949,0.161
1858,2,8.09,0.382,7.989,0.213,7.959,0.158
1858,3,8.094,0.358,8,0.211,7.965,0.16
1858,4,8.143,0.342,8.003,0.21,7.97,0.16
1858,5,8.199,0.331,8,0.208,7.973,0.16
1858,6,8.109,0.308,7.992,0.205,7.971,0.162
1858,7,8.062,0.296,7.953,0.205,7.965,0.162
1858,8,8.1,0.292,7.952,0.207,7.959,0.164
1858,9,8.108,0.29,7.954,0.2,7.955,0.162
1858,10,8.139,0.289,7.949,0.196,7.952,0.161
1858,11,8.192,0.278,7.946,0.194,7.958,0.159
1858,12,8.204,0.286,7.939,0.188,7.956,0.163
1859,1,8.216,0.292,7.938,0.181,7.958,0.168
1859,2,8.219,0.292,7.952,0.175,7.964,0.171
1859,3,8.215,0.275,7.961,0.177,7.963,0.172
1859,4,8.228,0.279,7.965,0.175,7.962,0.17
1859,5,8.225,0.279,7.974,0.171,7.963,0.17
1859,6,8.292,0.268,7.967,0.16,7.97,0.166
1859,7,8.277,0.243,7.945,0.164,7.967,0.167
1859,8,8.262,0.23,7.934,0.167,7.965,0.168
1859,9,8.134,0.245,7.931,0.164,7.964,0.165
1859,10,8.068,0.241,7.938,0.162,7.954,0.166
1859,11,8.029,0.23,7.955,0.158,7.948,0.162
1859,12,8.023,0.23,7.961,0.155,7.936,0.161
1860,1,8.042,0.232,7.964,0.151,7.937,0.162
1860,2,8.086,0.228,7.963,0.147,7.93,0.16
1860,3,8.14,0.22,7.961,0.141,7.925,0.157
1860,4,8.117,0.229,7.961,0.137,7.915,0.153
1860,5,8.036,0.232,7.951,0.141,7.912,0.152
1860,6,7.891,0.254,7.918,0.137,7.914,0.15
1860,7,7.776,0.255,7.925,0.138,7.918,0.149
1860,8,7.752,0.253,7.944,0.139,7.92,0.149
1860,9,7.839,0.243,7.941,0.142,7.926,0.147
1860,10,7.812,0.257,7.938,0.14,7.931,0.147
1860,11,7.765,0.298,7.944,0.136,7.939,0.147
1860,12,7.739,0.297,7.941,0.138,7.945,0.149
1861,1,7.725,0.296,7.94,0.139,7.946,0.151
1861,2,7.72,0.294,7.938,0.141,7.946,0.155
1861,3,7.682,0.304,7.935,0.139,7.946,0.153
1861,4,7.651,0.293,7.923,0.141,7.946,0.152
1861,5,7.725,0.292,7.914,0.144,7.948,0.151
1861,6,7.836,0.273,7.917,0.158,7.943,0.149
1861,7,7.84,0.278,7.909,0.165,7.948,0.144
1861,8,7.79,0.267,7.908,0.164,7.953,0.142
1861,9,7.774,0.269,7.903,0.159,7.959,0.144
